unique_identifier,Description,Price
33127,"Item Name: La Victoria Green Taco Sauce Mild, 12 Ounce (Pack of 6)
Value: 72.0
Unit: Fl Oz
",4.890000000000001
198967,"Item Name: Salerno Cookies, The Original Butter Cookies, 8 Ounce (Pack of 4)
Bullet Point 1: Original Butter Cookies: Classic butter cookies made with real butter
Bullet Point 2: Variety Pack: Includes 4 boxes with 32 cookies total
Bullet Point 3: Occasion Perfect: Delicious cookies for birthdays, weddings, anniversaries
Bullet Point 4: Shareable Treats: Fun to give and enjoy with friends and family
Bullet Point 5: Salerno Brand: Trusted brand of delicious butter cookies since 1925
Value: 32.0
Unit: Ounce
",13.12
261251,"Item Name: Bear Creek Hearty Soup Bowl, Creamy Chicken with Rice, 1.9 Ounce (Pack of 6)
Bullet Point 1: Loaded with hearty long grain wild rice and vegetables
Bullet Point 2: Full of hearty goodness
Bullet Point 3: Single serve bowls
Bullet Point 4: Easy to prepare mix
Bullet Point 5: 0 grams trans fat
Value: 11.4
Unit: Ounce
",1.97
55858,"Item Name: Judee’s Blue Cheese Powder 11.25 oz - Gluten-Free and Nut-Free - Use in Seasonings and Salad Dressings - Great for Dips, Spreads and Sauces - Made in USA
Bullet Point 1: Add to your favorite appetizers, dips & spreads. Use to season popcorn or warmed pita chips.
Bullet Point 2: Sprinkle over french fries, fried chicken, mashed potatoes, roasted veggies, pasta, and more
Bullet Point 3: Made in a dedicated gluten-free facility and shipped in a standup, resealable pouch to ensure freshness
Bullet Point 4: Ingredients: Blue Cheese (Milk, Salt, Cultures, & Enzymes) and Disodium Phosphate
Bullet Point 5: Since 2009, Judee’s has been dedicated to providing fresh, allergy-conscious ingredients, great for your recipes and even better for your family
Product Description: Judees Powdered Blue Cheese cheddar cheese powder is an alternative to mozzarella cheese shredded or american cheese slices deli. Make your own alfredo sauce with heavy cream and black buffalo dip with this powder. It adds extra flavor to salad dressing like ranch dressing and great on pizza dough or cauliflower pasta. Add to macaroni and cheese or popcorn seasoning for more aroma and cheesy feel. Combine with mustard and other ingredients to create your own dressing for buffalo chicken or buffalo wings.
Value: 11.25
Unit: Ounce
",30.34
292686,"Item Name: kedem Sherry Cooking Wine, 12.7 Ounce - 12 per case.
Bullet Point: kedem Sherry Cooking Wine, 12.7 Ounce - 12 per case.
Value: 12.0
Unit: Count
",66.49
9259,"Item Name: Member's Mark Member's Mark, Basil, 6.25 oz
Bullet Point 1: Green Herb, Italian Staple, Great mixed with Oregano
Bullet Point 2: Large Size, Chef Bottle
Bullet Point 3: Packed in the USA
Value: 6.25
Unit: ounce
",18.5
191846,"Item Name: Goya Foods Sazonador Total Seasoning, 30 Ounce (Pack of 6)
Bullet Point 1: SAZONADOR TOTAL | Enhance the natural flavors of food with the perfect mix of natural ingredients, Goya Sazonador Total. GOYA Sazonador Total adds super flavor in a flash. This versatile seasoning mix includes the perfect blend of Latino spices that makes your meal extra special. We’re sure you’ll love it.
Bullet Point 2: THE PERFECT SEASONING | GOYA Sazonador Total is the perfect blend of garlic, onion and Latin spices that adds quick flavor to any meat, chicken, fish and vegetables. Just sprinkle over meats, poultry, seafood and vegetables before cooking. You can also use it to punch up the taste of salads, sauces, and soups. A simple shake is all it takes!
Bullet Point 3: VERSATILE | This versatile seasoning mix includes the perfect blend of Latino spices that makes your meal extra special. We’re sure you’ll love it. GOYA Sazonador Total is the perfect blend of garlic, onion and Latin spices that adds quick flavor to any meat, chicken, fish and vegetables.
Bullet Point 4: PREMIUM QUALITY | If it's Goya... it has to be good! | ¡Si es Goya... tiene que ser bueno!
Bullet Point 5: PACK OF 6: 30 OZ BOTTLES | Discover Goya's incredible variety of seasonings on Amazon Fresh, Amazon Retail and Prime Pantry
Value: 180.0
Unit: Ounce
",5.99
222007,"Item Name: VineCo Original Series Chilean Sauvignon Blanc Wine Making Ingredient Kit
Bullet Point 1: Chilean Sauvignon Blanc Wine Kit - VineCo Original Series
Bullet Point 2: Flavor Profile - Herbaceous, stone fruit and tropical fruit
Bullet Point 3: Kit Volume: 8 L, Approximate Yield: 23 L
Bullet Point 4: Ready to Bottle: In 4 weeks
Bullet Point 5: Ingredient Kit Only Does Not Contain Alcohol
Product Description: Chilean Sauvignon Blanc Wine Kit - VineCo Original Series - Unleash the Refreshing Essence of Sauvignon Blanc Known for its vibrant personality, Sauvignon Blanc is a green-skinned grape that embodies the wild spirit of nature. Its name is derived from the French term for ""wild,"" reflecting its unrestrained growth and bold flavors. This grape variety thrives in diverse climates, producing wines that range from crisp and herbaceous to tropical and fruity. In cooler regions, you can expect wines to showcase a lively acidity with green bell pepper and grassy notes, while warmer areas enhance the fruit profile, leading to delightful tropical flavors. Chilean Sauvignon Blanc is particularly celebrated for its citrusy brightness, moving away from the greener characteristics often associated with the grape. Instead, it highlights a luscious mix of stone fruits, passion fruit, and zesty lime, presenting a more refined take on this beloved varietal. The winemaking conditions in Chile, marked by a combination of warm days and cool evenings, allow for optimal ripening while retaining essential acidity. The VineCo Chilean Sauvignon Blanc captures the essence of this grape beautifully. It offers a lively bouquet of herbaceous notes intertwined with enticing flavors of stone fruit and tropical delights. This dry white wine is crafted without oak, maintaining its fresh character. This wine kit encourages you to enjoy the Sauvignon Blanc at its peak freshness. With no aging required, you can indulge in its crisp flavors shortly after bottling. Its versatility means it pairs wonderfully with a variety of dishes, making it a fantastic option for any meal, from light appetizers to vibrant salads and even sushi. Experience the joy of pairing this delightful wine with your culinary creations. Ingredient Kit Only Does Not Contain Alcohol.
Value: 1.0
Unit: Count
",94.0
37614,"Item Name: NATURES PATH CEREAL FLK MULTIGRAIN ORG ECO, 32 OZ, PK- 6
Value: 192.0
Unit: Fl Oz
",35.74
238044,"Item Name: Mrs. Miller's Seedless Black Raspberry Jam 9 Ounce (Pack of 4)
Bullet Point 1: Homemade Seedless Black Raspberry Jam made from the finest ripened black raspberries
Bullet Point 2: Hand scooped in Ohio’s Amish Country
Bullet Point 3: Made with real Cane Sugar
Bullet Point 4: Spoon it onto your toast or biscuit, or use it as a tasty glaze on your pork or chicken
Bullet Point 5: GMO Free
Product Description: Made from the finest ripened black raspberries, Mrs. Miller's Homemade Seedless Black Raspberry Jam packs a delicious sweet taste. Black raspberries possess one of the richest flavors of all fruits, so it is no surprise that this flavor ranks at the top of everyone's list. Spoon it onto your toast or biscuit, or use it as a tasty glaze on your pork or chicken. Don't be surprised if you find yourself licking off the spoon with this one, or even just eating it right out of the jar. Hand scooped in Ohio's Amish Country. Ingredients: Pure Cane Sugar, Black Raspberries, Water, Pectin Lemon Juice, Citric Acid
Value: 9.0
Unit: Ounce
",31.8
